version,mis_a_jour,ordre_pack,categorie_pack,nom_pack,payant,description_pack,ordre_carte,id_carte,titre_carte,emoji,texte_carte,type_carte,ambiance
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",1,vanille-01,Premier date,🌹,Organiser un rendez-vous où vous faites comme si vous veniez de vous rencontrer.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",2,vanille-02,Dîner doux,🕯️,"Préparer un dîner romantique juste pour vous deux, sans téléphone à table.",practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",3,vanille-03,Long baiser,💋,S’embrasser pendant au moins trois minutes sans chercher à aller plus loin.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",4,vanille-04,Peau contre peau,🛏️,"Dormir nus ensemble, simplement collés l’un à l’autre.",practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",5,vanille-05,Beaux mots,✨,"À tour de rôle, dire trois choses précises que vous trouvez belles chez l’autre.",discussion,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",6,vanille-06,Long câlin,🫂,"Se prendre dans les bras pendant cinq minutes sans parler, juste en respirant ensemble.",practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",7,vanille-07,Douche tendre,🚿,"Prendre une douche ensemble en se lavant doucement, sans chercher à aller plus loin.",practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",8,vanille-08,Massage du soir,💆,"Masser l’autre pendant dix minutes, puis échanger les rôles.",practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",9,vanille-09,Petit-déj au lit,🥐,Surprendre l’autre avec un petit-déjeuner au lit ou une boisson chaude au réveil.,practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",10,vanille-10,Main dans la main,🤝,Passer une soirée en vous tenant la main dès que vous êtes assis côte à côte.,practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",11,vanille-11,Balade de nuit,🌙,Faire une balade de nuit ou de fin de journée en marchant bras dessus bras dessous.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",12,vanille-12,Lettre d’amour,💌,Écrire une courte lettre d’amour et la lire à voix haute ou la donner à l’autre.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",13,vanille-13,Sans écrans,📵,"Passer une soirée entière sans téléphone, ordinateur ni télévision.",practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",14,vanille-14,Slow dance,🎶,Mettre une chanson lente et danser ensemble dans le salon jusqu’à la fin du morceau.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",15,vanille-15,Yeux dans les yeux,👀,Se regarder dans les yeux pendant deux minutes sans parler ni détourner le regard.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",16,vanille-16,Beau souvenir,📸,Raconter chacun un souvenir précis où vous vous êtes senti·e très amoureux·se.,discussion,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",17,vanille-17,Bisous partout,😘,"Couvrir l’autre de bisous tendres sur le visage, les épaules, les mains et le cou.",practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",18,vanille-18,Parfum préféré,🧴,Porter une odeur que l’autre adore et l’attirer assez près pour qu’il/elle la respire dans votre cou.,practice,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",19,vanille-19,Playlist love,🎧,Créer une playlist de cinq chansons qui vous donnent envie d’être proches.,practice,calme
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",20,vanille-20,Déclaration,❤️,Dire à l’autre une phrase complète qui commence par “tu comptes pour moi parce que…”.,discussion,sensuel
4,2026-07-06,1,Vanille,Vanille,non,"Le pack inclus : douceur, tendresse et petits gestes qui rapprochent sans brusquer.",21,vanille-21,Bain à deux,🛁,Prendre un bain ou une douche chaude ensemble en restant collés quelques minutes.,practice,sensuel
