id,title,category,type,moods,blurb
v01,Baiser lent de 5 minutes,Vanille,practice,leger|sensuel,"Sans parler, vous restez connectes et vous suivez le rythme de l autre."
v02,Massage nuque et epaules,Vanille,practice,leger,Un relachement simple pour installer une ambiance douce.
v03,Caresse des mains,Vanille,practice,leger,"Explorer les doigts, paumes et poignets avec attention."
v04,Regard soutenu,Vanille,practice,sensuel,Deux minutes yeux dans les yeux pour monter la tension.
v05,Douche romantique,Vanille,practice,leger|sensuel,"Eau chaude, gestes lents et complicite sans objectif."
v06,Film sous plaid,Vanille,practice,leger,Choisir un film court et rester colles tout du long.
v07,Danse lente salon,Vanille,practice,leger|sensuel,"Une chanson, lumieres basses, proches l un de l autre."
v08,Compliments corporels,Vanille,discussion,leger|sensuel,Dire trois choses concretes que vous aimez chez l autre.
v09,Respiration synchronisee,Vanille,practice,leger,Caler vos respirations pendant 3 minutes allonges.
v10,Prelude playlist,Vanille,practice,sensuel,Construire une mini playlist de 5 titres qui vous excitent.
v11,Baiser cou et clavicule,Vanille,practice,sensuel,Explorer le haut du corps avec des gestes tres lents.
v12,Petit dejeuner au lit,Vanille,practice,leger,Un matin complice pour prolonger la tendresse.
v13,Sieste peau contre peau,Vanille,practice,leger|sensuel,Se poser 20 minutes sans ecran et sans parler.
v14,Huile parfumee,Vanille,practice,sensuel,Massage lent avec une huile choisie ensemble.
v15,Baiser surprise cuisine,Vanille,practice,leger,Voler un vrai moment a deux dans une routine.
v16,Je te guide la main,Vanille,practice,sensuel,Montrer ce que vous aimez avec douceur et precision.
v17,Duo bain chaud,Vanille,practice,leger|sensuel,"Bain, musique douce et gestes tranquilles."
v18,Jeu des frissons,Vanille,practice,sensuel,Effleurer differentes zones et nommer ce qui plait.
v19,Cocooning pluie,Vanille,practice,leger,"Jour de pluie, lumiere tamisee, temps lent a deux."
v20,Baiser apres dispute,Vanille,discussion,leger,Rituel de reconnexion apres un desaccord mineur.
v21,Sourire et silence,Vanille,practice,leger,Un moment sans mots juste pour retrouver l autre.
v22,Dos contre torse,Vanille,practice,sensuel,Etre enlace longtemps sans aller plus loin.
v23,Rituel bonne nuit,Vanille,practice,leger,Creer un geste intime fixe chaque soir.
v24,Je te decris,Vanille,discussion,sensuel,Dire ce qui vous attire dans le moment present.
v25,Main dans les cheveux,Vanille,practice,leger|sensuel,"Geste simple, lent et tres rassurant."
v26,Baiser pulse,Vanille,practice,sensuel,Changer rythme et intensite a tour de role.
v27,Pause sans telephone,Vanille,practice,leger,30 minutes dediees uniquement a votre lien.
v28,Jeu des 3 envies,Vanille,discussion,leger|sensuel,Chacun propose trois idees simples pour ce soir.
v29,Caresse ventre et hanches,Vanille,practice,sensuel,Explorer des zones souvent oubliees.
v30,Minute gratitude intime,Vanille,discussion,leger,Remercier l autre pour un geste de la semaine.
b01,Echelle d intensite,BDSM,discussion,aventureux,Definir vos niveaux de confort de 1 a 5 avant de jouer.
b02,Mot de securite trio,BDSM,discussion,leger|aventureux,"Choisir stop, ralentir, et check ensemble."
b03,Bandeau et guidance,BDSM,practice,sensuel|aventureux,Un partenaire guide l autre verbalement avec douceur.
b04,Consignes douces,BDSM,practice,aventureux,"Donner des instructions simples, claires, consenties."
b05,Role dominant 10 min,BDSM,practice,aventureux,Essai court pour tester la dynamique sans pression.
b06,Role soumis 10 min,BDSM,practice,aventureux,Lacher prise dans un cadre defini ensemble.
b07,Bondage poignets consensuel,BDSM,practice,sensuel|aventureux,Attacher les poignets avec regles claires et checks reguliers.
b08,Jeu de permission,BDSM,practice,aventureux,Demander la permission pour chaque etape du jeu.
b09,Ordres murmurés,BDSM,practice,sensuel|aventureux,"Voix basse, ton ferme, cadre bienveillant."
b10,Position tenue et regard,BDSM,practice,aventureux,Maintenir une posture plus intense pendant que l autre guide.
b11,Jeu d attente,BDSM,practice,sensuel|aventureux,Faire monter le desir en imposant de petites pauses.
b12,Interdits du soir,BDSM,discussion,aventureux,Lister clairement ce qui est non negociable.
b13,Autorisation de toucher,BDSM,practice,sensuel|aventureux,Toucher seulement apres signal ou consentement verbal.
b14,Code couleur emotion,BDSM,discussion,leger|aventureux,Vert orange rouge pour garder le jeu securise.
b15,Jeu de regard dominant,BDSM,practice,sensuel,Diriger sans parole par posture et regard.
b16,Rituel debut scene,BDSM,practice,aventureux,Phrase ou geste qui marque l entree en jeu.
b17,Rituel fin scene,BDSM,practice,leger|aventureux,Sortir de la dynamique avec douceur.
b18,Aftercare 15 minutes,BDSM,practice,leger,"Hydrater, enlacer, verbaliser les ressentis."
b19,Relecture des limites,BDSM,discussion,leger,"Ce qui etait bien, trop, ou a ajuster."
b20,Scenario pouvoir doux,BDSM,practice,aventureux,Mini role-play axé consentement et langage.
b21,Stop and breathe,BDSM,practice,aventureux,Pause imposee pour checker le confort mutuel.
b22,Jeu de privation visuelle,BDSM,practice,sensuel|aventureux,Bandeau et guidance tactile lente.
b23,Ordre puis recompense,BDSM,practice,aventureux,Associer consigne respectee et feedback positif.
b24,Question de consentement sexy,BDSM,discussion,sensuel,Demander clairement ce qui excite vraiment.
